Deprecated_Index,NAME,HIS,MBTI,source,url
7398,Julie Dretzin,Wizards,INTP,https://boo.world/database/profile/10219/julie-dretzin-personality-type,boo.world
7399,Sarah Levesque,Wizards,ENTP,https://boo.world/database/profile/17276/sarah-levesque-personality-type,boo.world
7400,Harry Groener,Knights,ESFJ,https://boo.world/database/profile/7375/harry-groener-personality-type,boo.world
7401,Rebecca Field,Healers,ENFP,https://boo.world/database/profile/16025/rebecca-field-personality-type,boo.world
7402,Doug Cockle,Explorers,ESFP,https://boo.world/database/profile/5351/doug-cockle-personality-type,boo.world
7404,Patricia Heaton,Knights,ESFJ,https://boo.world/database/profile/15189/patricia-heaton-personality-type,boo.world
7405,Dennis Haysbert,Wizards,ENTP,https://boo.world/database/profile/5003/dennis-haysbert-personality-type,boo.world
7406,Cory Hardrict,Explorers,ISTP,https://boo.world/database/profile/4086/cory-hardrict-personality-type,boo.world
7407,Jesús Franco,Explorers,ISFP,https://boo.world/database/profile/9104/jes%C3%BAs-franco-personality-type,boo.world
7408,Carl Marino,Healers,ENFJ,https://boo.world/database/profile/3001/carl-marino-personality-type,boo.world
7409,Lydia West,Healers,INFJ,https://boo.world/database/profile/12420/lydia-west-personality-type,boo.world
7410,Eric Christian Olsen,Wizards,INTP,https://boo.world/database/profile/6022/eric-christian-olsen-personality-type,boo.world
7411,Jill Ireland,Explorers,ESFP,https://boo.world/database/profile/9127/jill-ireland-personality-type,boo.world
7412,Kim Director,Healers,ENFP,https://boo.world/database/profile/11097/kim-director-personality-type,boo.world
7413,Christina Lindberg,Knights,ESFJ,https://boo.world/database/profile/3681/christina-lindberg-personality-type,boo.world
7414,Lisa Rinna,Explorers,ESFP,https://boo.world/database/profile/12073/lisa-rinna-personality-type,boo.world
7415,Dana Delany,Wizards,INTP,https://boo.world/database/profile/4343/dana-delany-personality-type,boo.world
7416,Carmela Zumbado,Healers,INFP,https://boo.world/database/profile/3049/carmela-zumbado-personality-type,boo.world
7417,John Gluck,Knights,ESTJ,https://boo.world/database/profile/9559/john-gluck-personality-type,boo.world
7418,Chrishell Stause,Explorers,ESTP,https://boo.world/database/profile/3621/chrishell-stause-personality-type,boo.world
7419,Mark L. Young,Explorers,ISFP,https://boo.world/database/profile/12932/mark-l-young-personality-type,boo.world
7420,Christy Williams,Wizards,ENTJ,https://boo.world/database/profile/3784/christy-williams-personality-type,boo.world
7421,Raini Rodriguez,Wizards,INTJ,https://boo.world/database/profile/15876/raini-rodriguez-personality-type,boo.world
7422,Elaine Paige,Knights,ISTJ,https://boo.world/database/profile/5602/elaine-paige-personality-type,boo.world
7423,Lynsey Baxter,Wizards,INTP,https://boo.world/database/profile/12459/lynsey-baxter-personality-type,boo.world
7424,William Fichtner,Wizards,INTP,https://boo.world/database/profile/19865/william-fichtner-personality-type,boo.world
7425,Don Wilson,Knights,ESFJ,https://boo.world/database/profile/5287/don-wilson-personality-type,boo.world
7426,Michael Powell,Healers,INFJ,https://boo.world/database/profile/13794/michael-powell-personality-type,boo.world
7427,Ashly Burch,Healers,ENFP,https://boo.world/database/profile/1712/ashly-burch-personality-type,boo.world
7428,Mamoru Miyano,Explorers,ESFP,https://boo.world/database/profile/12647/mamoru-miyano-personality-type,boo.world
7429,Gary Frank,Healers,INFP,https://boo.world/database/profile/6665/gary-frank-personality-type,boo.world
7430,Robert Blake,Healers,ENFJ,https://boo.world/database/profile/16431/robert-blake-personality-type,boo.world
7431,Jonathan Roumie,Healers,INFJ,https://boo.world/database/profile/9845/jonathan-roumie-personality-type,boo.world
7432,Suki Waterhouse,Healers,ENFP,https://boo.world/database/profile/18333/suki-waterhouse-personality-type,boo.world
7433,Lindsey Gort,Explorers,ESTP,https://boo.world/database/profile/11998/lindsey-gort-personality-type,boo.world
7434,Janusz Kaminski,Healers,ENFP,https://boo.world/database/profile/8474/janusz-kaminski-personality-type,boo.world
7435,Mike Epps,Explorers,ESFP,https://boo.world/database/profile/13982/mike-epps-personality-type,boo.world
7436,Jane Birkin,Explorers,ISFP,https://boo.world/database/profile/8409/jane-birkin-personality-type,boo.world
7437,Danny Cooksey,Explorers,ESFP,https://boo.world/database/profile/4487/danny-cooksey-personality-type,boo.world
7438,Penny Marshall,Healers,ENFP,https://boo.world/database/profile/15449/penny-marshall-personality-type,boo.world
7440,Spike Lee,Healers,ENFP,https://boo.world/database/profile/18015/spike-lee-personality-type,boo.world
7441,Dany Garcia,Wizards,ENTJ,https://boo.world/database/profile/4519/dany-garcia-personality-type,boo.world
7442,Gregory Itzin,Wizards,ENTP,https://boo.world/database/profile/7154/gregory-itzin-personality-type,boo.world
7443,Greg Mottola,Healers,INFJ,https://boo.world/database/profile/7135/greg-mottola-personality-type,boo.world
7444,Anders Holm,Knights,ISTJ,https://boo.world/database/profile/1011/anders-holm-personality-type,boo.world
7445,Corey Fogelmanis,Healers,INFJ,https://boo.world/database/profile/4065/corey-fogelmanis-personality-type,boo.world
7446,Tupac Shakur,Healers,ENFJ,https://boo.world/database/profile/19363/tupac-shakur-personality-type,boo.world
7447,John Fiedler,Wizards,ENTJ,https://boo.world/database/profile/9541/john-fiedler-personality-type,boo.world
7448,Demetri Martin,Wizards,INTP,https://boo.world/database/profile/4955/demetri-martin-personality-type,boo.world
7449,Andy Garcia,Healers,INFJ,https://boo.world/database/profile/1143/andy-garcia-personality-type,boo.world
7450,Jamie Babbit,Healers,ENFP,https://boo.world/database/profile/8353/jamie-babbit-personality-type,boo.world
7451,Michael V. Gazzo,Knights,ESTJ,https://boo.world/database/profile/13837/michael-v-gazzo-personality-type,boo.world
7452,Bruce Spence,Explorers,ISFP,https://boo.world/database/profile/2784/bruce-spence-personality-type,boo.world
7453,Nigel Planer,Explorers,ISFP,https://boo.world/database/profile/14738/nigel-planer-personality-type,boo.world
7454,June Fairchild,Explorers,ESTP,https://boo.world/database/profile/10280/june-fairchild-personality-type,boo.world
7455,Teddy Sears,Knights,ISTJ,https://boo.world/database/profile/18701/teddy-sears-personality-type,boo.world
7456,Janelle James,Explorers,ISFP,https://boo.world/database/profile/8445/janelle-james-personality-type,boo.world
7457,Sarah Orenstein,Knights,ESTJ,https://boo.world/database/profile/17288/sarah-orenstein-personality-type,boo.world
7458,Marilyn Burns,Knights,ESFJ,https://boo.world/database/profile/12846/marilyn-burns-personality-type,boo.world
7459,Sophie Skelton,Healers,INFP,https://boo.world/database/profile/17981/sophie-skelton-personality-type,boo.world
7460,Dorothy Dandridge,Wizards,INTP,https://boo.world/database/profile/5339/dorothy-dandridge-personality-type,boo.world
7461,Michele Morrone,Explorers,ISFP,https://boo.world/database/profile/13882/michele-morrone-personality-type,boo.world
7462,Rebecca Quin,Healers,ENFP,https://boo.world/database/profile/16048/rebecca-quin-personality-type,boo.world
7463,David Schramm,Knights,ESFJ,https://boo.world/database/profile/4792/david-schramm-personality-type,boo.world
7464,Wanda Cannon,Wizards,INTJ,https://boo.world/database/profile/19718/wanda-cannon-personality-type,boo.world
7465,Elsa Martinelli,Wizards,INTJ,https://boo.world/database/profile/5821/elsa-martinelli-personality-type,boo.world
7466,Thomas Beaudoin,Explorers,ISFP,https://boo.world/database/profile/18811/thomas-beaudoin-personality-type,boo.world
7467,Mike O'Malley,Knights,ESTJ,https://boo.world/database/profile/14004/mike-omalley-personality-type,boo.world
7468,Meghan Heffern,Healers,ENFJ,https://boo.world/database/profile/13453/meghan-heffern-personality-type,boo.world
7469,Jack Kesy,Healers,ENFJ,https://boo.world/database/profile/8005/jack-kesy-personality-type,boo.world
7470,Eva Ceja,Explorers,ESFP,https://boo.world/database/profile/6195/eva-ceja-personality-type,boo.world
7471,Carol Mansell,Healers,ENFP,https://boo.world/database/profile/3073/carol-mansell-personality-type,boo.world
7472,Hebe Beardsall,Wizards,ENTP,https://boo.world/database/profile/7481/hebe-beardsall-personality-type,boo.world
7473,Jay Chou,Explorers,ISFP,https://boo.world/database/profile/8591/jay-chou-personality-type,boo.world
7474,Julian Wadham,Explorers,ESFP,https://boo.world/database/profile/10185/julian-wadham-personality-type,boo.world
7475,Julie Strain,Wizards,INTJ,https://boo.world/database/profile/10246/julie-strain-personality-type,boo.world
7476,Radu Jude,Wizards,INTJ,https://boo.world/database/profile/15853/radu-jude-personality-type,boo.world
7477,Robert Donat,Healers,INFP,https://boo.world/database/profile/16454/robert-donat-personality-type,boo.world
7478,Vendela Kirsebom,Knights,ISTJ,https://boo.world/database/profile/19511/vendela-kirsebom-personality-type,boo.world
7479,Emily Coates,Healers,INFJ,https://boo.world/database/profile/5883/emily-coates-personality-type,boo.world
